TP (%),RPM,Lambda (AFR)
4.052,2673.07,11.78
4.055,2673.92,11.79
4.06,2674.94,11.81
4.064,2675.95,11.82
4.068,2676.83,11.83
4.073,2677.84,11.84
4.078,2678.86,11.85
4.084,2679.87,11.86
4.09,2680.86,11.86
4.097,2681.85,11.87
4.104,2682.83,11.88
4.112,2683.81,11.88
4.119,2684.64,11.89
4.127,2685.6,11.9
4.137,2686.56,11.9
4.146,2687.36,11.91
4.156,2688.3,11.91
4.167,2689.25,11.92
4.178,2690.05,11.92
4.19,2691,11.93
4.202,2691.95,11.93
4.213,2692.75,11.94
4.226,2693.67,11.94
4.24,2694.6,11.95
4.252,2695.38,11.95
4.267,2696.28,11.96
4.282,2697.17,11.97
4.297,2698.04,11.97
4.312,2698.9,11.98
4.327,2699.74,11.99
4.343,2700.57,12
4.359,2701.37,12
4.372,2702.04,12.01
4.388,2702.84,12.02
4.405,2703.63,12.03
4.419,2704.3,12.03
4.435,2705.12,12.04
4.451,2705.93,12.05
4.468,2706.74,12.06
4.484,2707.57,12.07
4.501,2708.41,12.08
4.517,2709.26,12.09
4.534,2710.13,12.1
4.548,2710.89,12.11
4.564,2711.76,12.12
4.58,2712.65,12.13
4.594,2713.43,12.14
4.61,2714.33,12.15
4.626,2715.23,12.16
4.639,2716.02,12.17
4.654,2716.92,12.18
4.669,2717.82,12.19
4.684,2718.74,12.21
4.699,2719.68,12.22
4.714,2720.65,12.23
4.728,2721.66,12.24
4.742,2722.71,12.25
4.753,2723.68,12.26
4.766,2724.82,12.27
4.779,2726.01,12.28
4.791,2727.24,12.29
4.803,2728.52,12.3
4.815,2729.83,12.31
4.826,2731.18,12.32
4.836,2732.57,12.33
4.844,2733.83,12.34
4.853,2735.26,12.34
4.862,2736.72,12.35
4.869,2738.03,12.36
4.876,2739.53,12.37
4.883,2741.04,12.37
4.89,2742.56,12.38
4.896,2744.08,12.38
4.901,2745.61,12.39
4.906,2747.13,12.39
4.911,2748.65,12.4
4.915,2750.18,12.4
4.918,2751.7,12.41
4.922,2753.22,12.41
4.925,2754.72,12.41
4.928,2756.22,12.41
4.93,2757.48,12.42
4.933,2758.95,12.42
4.936,2760.43,12.42
4.938,2761.89,12.42
4.94,2763.35,12.42
4.943,2764.81,12.42
4.945,2766.25,12.42
4.947,2767.69,12.42
4.949,2768.89,12.42
4.951,2770.3,12.42
4.953,2771.71,12.42
4.955,2773.12,12.42
4.957,2774.5,12.42
4.959,2775.81,12.41
4.961,2777.14,12.41
4.963,2778.45,12.41
4.965,2779.73,12.41
4.967,2781.02,12.4
4.969,2782.32,12.4
4.971,2783.6,12.4
4.974,2784.82,12.39
4.976,2786.05,12.39
4.977,2787.26,12.38
4.979,2788.43,12.38
4.981,2789.57,12.37
4.983,2790.69,12.37
4.985,2791.79,12.36
4.986,2792.83,12.36
4.988,2793.88,12.35
4.989,2794.9,12.35
4.99,2795.9,12.34
4.992,2796.88,12.33
4.993,2797.85,12.33
4.994,2798.81,12.32
4.995,2799.74,12.32
4.996,2800.67,12.31
4.997,2801.59,12.3
4.998,2802.5,12.3
4.999,2803.4,12.3
5,2804.29,12.29
5.001,2805.18,12.29
5.002,2806.95,12.28
5.003,2807.84,12.28
5.004,2809.6,12.27
5.005,2811.36,12.27
5.006,2814.11,12.26
5.007,2816.95,12.25
5.008,2845.61,12.19
5.009,2848.24,12.18
5.01,2850.66,12.18
5.011,2853.1,12.17
5.012,2854.31,12.17
5.013,2855.53,12.17
5.014,2856.93,12.16
5.015,2858.13,12.16
5.016,2859.33,12.16
5.017,2860.51,12.15
5.018,2861.67,12.15
5.019,2862.81,12.14
5.02,2863.92,12.14
5.021,2865.18,12.14
5.022,2866.25,12.13
5.024,2867.47,12.13
5.025,2868.51,12.12
5.026,2869.54,12.12
5.027,2870.57,12.11
5.028,2871.57,12.11
5.03,2872.58,12.1
5.031,2873.6,12.1
5.032,2874.77,12.09
5.034,2875.78,12.08
5.035,2876.96,12.08
5.036,2877.99,12.07
5.037,2879.02,12.06
5.038,2880.06,12.06
5.04,2881.1,12.05
5.041,2882.15,12.04
5.042,2883.2,12.04
5.043,2884.39,12.03
5.044,2885.42,12.03
5.045,2886.6,12.02
5.046,2887.62,12.01
5.048,2888.65,12.01
5.049,2889.68,12
5.05,2890.71,11.99
5.051,2891.74,11.99
5.052,2892.78,11.98
5.053,2893.96,11.97
5.054,2895.01,11.97
5.055,2896.22,11.96
5.056,2897.29,11.96
5.057,2898.53,11.95
5.058,2899.63,11.94
5.06,2900.88,11.94
