TP (%),RPM,Lambda (AFR)
10.04,5176.23,10.9
10.211,5177.35,10.9
10.379,5178.52,10.9
10.543,5179.75,10.89
10.702,5181.06,10.9
10.86,5182.39,10.9
11.016,5183.78,10.9
11.167,5185.27,10.9
11.316,5186.78,10.91
11.462,5188.36,10.91
11.603,5190.03,10.92
11.743,5191.72,10.93
11.879,5193.48,10.94
12.009,5195.32,10.95
12.138,5197.19,10.96
12.263,5199.1,10.98
12.382,5201.09,10.99
12.5,5203.11,11.01
12.614,5205.18,11.02
12.723,5207.32,11.04
12.832,5209.5,11.06
12.936,5211.72,11.08
13.044,5214.16,11.1
13.141,5216.46,11.12
13.235,5218.8,11.14
13.322,5221.16,11.16
13.406,5223.54,11.17
13.489,5225.93,11.19
13.566,5228.34,11.21
13.64,5230.77,11.22
13.72,5233.41,11.24
13.79,5235.87,11.25
13.855,5238.36,11.26
13.918,5240.86,11.27
13.979,5243.38,11.28
14.035,5245.92,11.29
14.089,5248.49,11.3
14.142,5251.06,11.31
14.197,5253.86,11.32
14.244,5256.48,11.32
14.29,5259.13,11.33
14.338,5261.99,11.34
14.379,5264.69,11.34
14.419,5267.4,11.35
14.458,5270.14,11.35
14.494,5272.9,11.36
14.529,5275.69,11.36
14.563,5278.48,11.37
14.596,5281.27,11.37
14.63,5284.29,11.38
14.66,5287.11,11.38
14.689,5289.93,11.38
14.72,5292.98,11.39
14.747,5295.83,11.39
14.773,5298.68,11.4
14.801,5301.74,11.4
14.825,5304.61,11.4
14.849,5307.49,11.41
14.874,5310.57,11.41
14.897,5313.45,11.41
14.92,5316.34,11.42
14.944,5319.45,11.42
14.966,5322.35,11.42
14.988,5325.27,11.43
15.011,5328.42,11.43
15.033,5331.37,11.43
15.055,5334.32,11.44
15.079,5337.51,11.44
15.102,5340.5,11.44
15.125,5343.51,11.45
15.15,5346.75,11.45
15.175,5350,11.46
15.199,5353.06,11.46
15.225,5356.35,11.46
15.251,5359.67,11.47
15.276,5362.77,11.47
15.302,5365.87,11.47
15.33,5369.22,11.48
15.356,5372.36,11.48
15.382,5375.5,11.49
15.411,5378.89,11.49
15.439,5382.28,11.49
15.467,5385.43,11.5
15.496,5388.84,11.5
15.525,5392.24,11.5
15.553,5395.43,11.51
15.581,5398.65,11.51
15.611,5402.12,11.51
15.641,5405.6,11.51
15.669,5408.87,11.52
15.7,5412.4,11.52
15.73,5415.94,11.52
15.758,5419.24,11.53
15.787,5422.56,11.53
15.817,5426.12,11.53
15.847,5429.71,11.53
15.875,5433.08,11.54
15.906,5436.72,11.54
15.936,5440.39,11.54
15.966,5444.1,11.54
15.993,5447.57,11.55
16.023,5451.31,11.55
16.053,5455.06,11.55
16.082,5458.81,11.56
16.108,5462.31,11.56
16.137,5466.08,11.56
16.165,5469.87,11.57
16.193,5473.65,11.57
16.219,5477.2,11.57
16.246,5481.02,11.58
16.273,5484.84,11.58
16.3,5488.68,11.59
16.323,5492.28,11.59
16.349,5496.13,11.6
16.374,5499.99,11.6
16.398,5503.84,11.6
16.421,5507.43,11.61
16.444,5511.3,11.61
16.467,5515.18,11.62
16.489,5519.07,11.62
16.511,5522.97,11.63
16.532,5526.87,11.63
16.553,5530.78,11.64
16.573,5534.68,11.64
16.593,5538.57,11.64
16.609,5542.17,11.65
16.627,5546.03,11.65
16.645,5549.9,11.66
16.662,5553.76,11.66
16.678,5557.62,11.67
16.694,5561.5,11.67
16.709,5565.37,11.67
16.724,5569.23,11.68
16.738,5573.1,11.68
16.751,5576.97,11.68
16.764,5580.82,11.69
16.776,5584.68,11.69
16.788,5588.54,11.69
16.799,5592.39,11.7
16.81,5596.26,11.7
16.821,5600.17,11.7
16.831,5604.06,11.71
16.84,5607.97,11.71
16.849,5611.88,11.71
16.858,5615.78,11.72
16.867,5619.95,11.72
16.875,5623.85,11.72
16.882,5627.73,11.72
16.89,5631.6,11.73
16.896,5635.44,11.73
16.903,5639.31,11.73
16.91,5643.43,11.73
16.916,5647.28,11.74
16.922,5651.11,11.74
16.927,5654.95,11.74
16.932,5658.76,11.74
16.937,5662.54,11.74
16.942,5666.59,11.75
16.947,5670.61,11.75
16.951,5674.35,11.75
16.955,5678.08,11.75
16.959,5681.84,11.75
16.962,5685.59,11.75
16.966,5689.34,11.75
16.969,5693.37,11.75
16.973,5697.13,11.75
16.976,5700.89,11.75
16.979,5704.66,11.75
16.982,5708.41,11.75
16.985,5712.16,11.75
16.988,5716.2,11.75
16.991,5720.25,11.75
16.994,5724.32,11.75
16.997,5728.16,11.75
17,5732.02,11.75
17.003,5735.87,11.76
17.006,5739.74,11.76
17.009,5743.61,11.76
17.012,5747.76,11.76
17.015,5751.92,11.76
17.018,5756.09,11.76
17.021,5760.26,11.76
17.024,5764.44,11.76
17.028,5768.36,11.76
17.031,5772.26,11.76
17.034,5776.16,11.76
17.038,5780.06,11.76
17.041,5783.97,11.77
17.045,5788.13,11.77
17.049,5792.28,11.77
17.054,5796.44,11.77
17.058,5800.59,11.77
17.063,5804.74,11.77
17.068,5808.9,11.77
17.074,5812.8,11.78
17.079,5816.68,11.78
17.085,5820.55,11.78
17.091,5824.41,11.78
17.098,5828.27,11.78
17.105,5832.35,11.79
17.113,5836.45,11.79
17.121,5840.54,11.79
17.13,5844.61,11.79
17.139,5848.69,11.8
17.149,5852.78,11.8
17.159,5856.85,11.8
17.17,5860.91,11.8
17.182,5864.96,11.81
17.194,5868.98,11.81
17.207,5872.99,11.81
17.22,5877,11.81
17.234,5880.99,11.82
17.248,5884.71,11.82
17.262,5888.44,11.82
17.277,5892.17,11.83
17.292,5895.89,11.83
17.307,5899.59,11.83
17.324,5903.57,11.83
17.341,5907.52,11.84
17.359,5911.44,11.84
17.377,5915.35,11.84
17.396,5919.27,11.84
17.415,5923.18,11.85
17.435,5927.09,11.85
17.455,5931,11.85
17.475,5934.92,11.85
17.496,5938.82,11.86
17.517,5942.7,11.86
17.539,5946.58,11.86
17.56,5950.45,11.86
17.582,5954.31,11.86
17.603,5958.18,11.87
17.626,5962.05,11.87
17.648,5965.92,11.87
17.67,5969.78,11.87
17.693,5973.65,11.87
17.716,5977.52,11.87
17.738,5981.36,11.87
17.761,5985.21,11.87
17.784,5989.05,11.87
17.807,5992.89,11.87
17.83,5996.73,11.87
17.854,6000.59,11.87
17.877,6004.45,11.87
17.9,6008.34,11.87
17.924,6012.26,11.87
17.947,6016.16,11.87
17.97,6020.08,11.86
17.993,6024.01,11.86
18.016,6027.95,11.86
18.041,6032.11,11.86
18.063,6036.06,11.86
18.088,6040.26,11.85
18.112,6044.49,11.85
18.135,6048.73,11.85
18.157,6052.75,11.84
18.18,6057.03,11.84
18.201,6061.05,11.84
18.222,6065.05,11.83
18.243,6069.08,11.83
18.263,6073.11,11.83
18.283,6077.15,11.82
18.303,6081.2,11.82
18.322,6085.28,11.82
18.341,6089.36,11.81
18.36,6093.44,11.81
18.378,6097.54,11.81
18.395,6101.66,11.8
18.412,6105.78,11.8
18.43,6110.16,11.79
18.447,6114.56,11.79
18.462,6118.98,11.78
18.475,6123.41,11.78
18.486,6127.85,11.77
18.491,6132.04,11.77
18.492,6136.23,11.77
6.433,6376.64,10.92
6.463,6377.97,10.91
6.511,6379.22,10.89
6.575,6380.41,10.89
6.657,6381.62,10.88
6.755,6382.65,10.87
6.869,6383.61,10.86
7.001,6384.48,10.86
7.142,6385.32,10.86
7.295,6386.11,10.85
7.46,6386.84,10.85
7.635,6387.5,10.85
7.816,6388.14,10.85
8.003,6388.73,10.85
8.195,6389.28,10.85
8.39,6389.79,10.85
8.588,6390.26,10.86
8.787,6390.71,10.86
8.988,6391.14,10.86
9.187,6391.54,10.87
9.386,6391.94,10.87
9.581,6392.31,10.88
9.775,6392.68,10.88
9.967,6393.05,10.89
10.154,6393.43,10.89
10.339,6393.81,10.9
10.522,6394.21,10.9
10.702,6394.62,10.91
10.875,6395.1,10.91
11.047,6395.58,10.92
11.213,6396.11,10.93
11.376,6396.68,10.93
11.532,6397.33,10.94
11.696,6398.01,10.95
11.844,6398.73,10.96
11.989,6399.51,10.97
12.129,6400.37,10.98
12.266,6401.27,10.99
12.39,6402.18,11.01
12.519,6403.18,11.02
12.643,6404.26,11.03
12.765,6405.36,11.05
12.885,6406.52,11.07
13.009,6407.78,11.09
13.121,6409.06,11.1
13.232,6410.37,11.12
13.34,6411.73,11.14
13.444,6413.15,11.16
13.545,6414.63,11.18
13.645,6416.13,11.2
13.742,6417.68,11.22
13.835,6419.29,11.24
13.934,6421.03,11.26
14.023,6422.72,11.28
14.11,6424.47,11.3
14.194,6426.27,11.32
14.282,6428.21,11.34
14.361,6430.08,11.35
14.436,6432.01,11.37
14.509,6433.97,11.39
14.581,6435.95,11.4
14.649,6437.97,11.42
14.715,6440.01,11.43
14.78,6442.08,11.44
14.843,6444.19,11.46
14.907,6446.46,11.47
14.965,6448.63,11.48
15.022,6450.84,11.5
15.076,6453.06,11.51
15.132,6455.45,11.52
15.184,6457.72,11.53
15.234,6460.01,11.54
15.283,6462.32,11.55
15.334,6464.79,11.57
15.382,6467.14,11.58
15.428,6469.52,11.59
15.474,6471.9,11.6
15.523,6474.44,11.61
15.568,6476.86,11.62
15.613,6479.28,11.62
15.658,6481.71,11.63
15.706,6484.3,11.64
15.751,6486.79,11.65
15.796,6489.27,11.66
15.841,6491.79,11.66
15.888,6494.48,11.67
15.933,6497.02,11.68
15.978,6499.59,11.68
16.023,6502.17,11.69
16.07,6504.9,11.69
16.115,6507.49,11.7
16.16,6510.11,11.7
16.207,6512.89,11.71
16.254,6515.7,11.71
16.299,6518.37,11.72
16.344,6521.05,11.72
16.391,6523.91,11.73
16.436,6526.61,11.73
16.481,6529.32,11.73
16.525,6532.05,11.73
16.572,6534.96,11.74
16.617,6537.72,11.74
16.661,6540.51,11.74
16.708,6543.49,11.74
16.755,6546.49,11.75
16.799,6549.32,11.75
16.845,6552.34,11.75
16.891,6555.39,11.75
16.934,6558.28,11.75
16.977,6561.18,11.75
17.022,6564.29,11.75
17.064,6567.25,11.75
17.106,6570.21,11.75
17.15,6573.36,11.75
17.193,6576.53,11.75
17.233,6579.51,11.75
17.275,6582.68,11.75
17.317,6585.86,11.75
17.355,6588.86,11.76
17.393,6591.87,11.76
17.432,6595.08,11.76
17.469,6598.12,11.76
17.505,6601.18,11.76
17.542,6604.42,11.76
17.579,6607.69,11.76
17.613,6610.76,11.76
17.648,6614.05,11.76
17.683,6617.34,11.76
17.715,6620.47,11.76
17.748,6623.8,11.76
17.78,6627.16,11.76
17.81,6630.32,11.76
17.84,6633.7,11.76
17.87,6637.07,11.76
17.897,6640.26,11.76
17.926,6643.64,11.76
17.954,6647.04,11.76
17.979,6650.25,11.76
18.006,6653.66,11.76
18.032,6657.08,11.76
18.056,6660.3,11.76
18.08,6663.71,11.76
18.105,6667.12,11.76
18.127,6670.34,11.76
18.151,6673.75,11.76
18.174,6677.17,11.76
18.197,6680.6,11.76
18.22,6684.03,11.76
18.243,6687.46,11.76
18.265,6690.89,11.76
18.287,6694.31,11.76
18.308,6697.52,11.76
18.33,6700.94,11.76
18.351,6704.35,11.76
18.372,6707.56,11.76
18.394,6710.99,11.76
18.416,6714.42,11.76
18.438,6717.86,11.76
18.461,6721.3,11.76
18.483,6724.74,11.76
18.506,6728.19,11.76
18.528,6731.65,11.76
18.552,6735.11,11.76
18.575,6738.59,11.76
18.599,6742.09,11.76
18.623,6745.6,11.76
18.647,6749.12,11.76
18.672,6752.63,11.76
18.697,6756.16,11.75
18.722,6759.68,11.75
18.747,6763.21,11.75
18.773,6766.74,11.75
18.798,6770.09,11.75
18.824,6773.63,11.75
18.851,6777.2,11.75
18.879,6780.77,11.75
18.906,6784.35,11.75
18.936,6788.12,11.75
18.964,6791.71,11.75
18.993,6795.29,11.75
19.023,6798.87,11.75
19.052,6802.44,11.75
19.083,6806.04,11.76
19.113,6809.63,11.76
19.145,6813.22,11.76
19.176,6816.8,11.76
19.208,6820.4,11.76
19.24,6823.99,11.76
19.273,6827.59,11.76
19.308,6831.4,11.76
19.341,6835.03,11.76
19.377,6838.87,11.76
19.411,6842.52,11.76
19.445,6846.18,11.76
19.48,6849.84,11.76
19.515,6853.52,11.76
19.55,6857.22,11.76
19.585,6860.93,11.76
19.622,6864.88,11.76
19.657,6868.65,11.76
19.695,6872.64,11.76
19.73,6876.45,11.76
19.765,6880.27,11.76
19.8,6884.1,11.76
19.835,6887.94,11.76
19.869,6891.8,11.76
19.904,6895.65,11.76
19.94,6899.75,11.76
19.974,6903.64,11.76
20.01,6907.76,11.76
20.043,6911.66,11.76
20.078,6915.78,11.76
20.11,6919.67,11.76
20.145,6923.81,11.76
20.176,6927.72,11.76
20.21,6931.86,11.76
20.241,6935.79,11.76
20.274,6939.96,11.76
20.304,6943.89,11.76
20.336,6948.05,11.76
20.366,6951.98,11.76
20.397,6956.14,11.76
20.425,6960.07,11.76
20.456,6964.23,11.76
20.483,6968.16,11.76
20.513,6972.32,11.76
20.54,6976.27,11.76
20.568,6980.45,11.76
20.594,6984.38,11.76
20.621,6988.54,11.76
20.646,6992.49,11.75
20.672,6996.65,11.75
20.696,7000.58,11.75
20.721,7004.76,11.75
20.744,7008.72,11.75
20.768,7012.91,11.75
20.79,7016.86,11.75
20.813,7021.06,11.75
20.834,7025.01,11.75
20.856,7029.19,11.75
20.876,7033.14,11.75
20.897,7037.33,11.75
20.917,7041.52,11.75
20.937,7045.74,11.75
20.956,7049.94,11.75
20.975,7054.15,11.75
20.993,7058.37,11.75
21.009,7062.35,11.75
21.026,7066.56,11.75
21.042,7070.54,11.75
21.058,7074.76,11.75
21.074,7078.99,11.75
21.09,7083.23,11.75
21.105,7087.46,11.75
21.12,7091.68,11.75
21.134,7095.89,11.75
21.147,7099.88,11.75
21.161,7104.08,11.75
21.175,7108.28,11.75
21.188,7112.5,11.75
21.201,7116.71,11.75
21.213,7120.91,11.75
21.225,7125.09,11.75
21.236,7129.05,11.75
21.248,7133.23,11.75
21.259,7137.41,11.75
21.27,7141.58,11.75
21.281,7145.77,11.75
21.291,7149.93,11.75
21.301,7154.11,11.75
21.311,7158.25,11.75
21.32,7162.4,11.75
21.329,7166.54,11.75
21.337,7170.67,11.75
21.343,7174.79,11.75
21.348,7178.92,11.75
21.351,7183.04,11.75
7.051,7417.02,11.09
7.071,7417.92,11.08
7.117,7418.64,11.08
7.179,7419.37,11.08
7.259,7420.02,11.08
7.353,7420.63,11.08
7.463,7421.1,11.08
7.591,7421.57,11.08
7.731,7421.99,11.08
7.883,7422.38,11.08
8.039,7422.68,11.09
8.212,7422.98,11.09
8.392,7423.24,11.1
8.568,7423.45,11.1
8.748,7423.65,11.11
8.94,7423.83,11.12
9.134,7424.01,11.12
9.319,7424.16,11.13
9.514,7424.32,11.14
9.708,7424.47,11.14
9.889,7424.63,11.15
10.069,7424.79,11.15
10.256,7424.97,11.16
10.44,7425.17,11.17
10.608,7425.39,11.17
10.786,7425.62,11.18
10.959,7425.88,11.18
11.126,7426.18,11.19
11.28,7426.51,11.2
11.439,7426.86,11.2
11.592,7427.27,11.21
11.731,7427.72,11.22
11.865,7428.21,11.22
12.005,7428.73,11.23
12.138,7429.32,11.24
12.259,7429.95,11.25
12.384,7430.63,11.26
12.504,7431.37,11.27
12.62,7432.15,11.28
12.726,7432.96,11.29
12.835,7433.85,11.31
12.941,7434.78,11.32
13.039,7435.72,11.33
13.135,7436.72,11.35
13.233,7437.81,11.36
13.329,7438.94,11.38
13.416,7440.09,11.4
13.507,7441.33,11.41
13.596,7442.62,11.43
13.683,7443.97,11.44
13.762,7445.31,11.46
13.846,7446.74,11.47
13.927,7448.23,11.49
14.004,7449.75,11.5
14.075,7451.24,11.51
14.148,7452.83,11.53
14.218,7454.45,11.54
14.286,7456.1,11.55
14.348,7457.71,11.56
14.412,7459.42,11.57
14.474,7461.15,11.57
14.532,7462.9,11.58
14.585,7464.58,11.59
14.64,7466.36,11.6
14.692,7468.15,11.61
14.742,7469.96,11.61
14.788,7471.69,11.62
14.835,7473.52,11.63
14.88,7475.37,11.64
14.924,7477.21,11.64
14.963,7478.98,11.65
15.004,7480.85,11.66
15.044,7482.73,11.67
15.083,7484.62,11.67
15.119,7486.45,11.68
15.156,7488.37,11.68
15.193,7490.32,11.69
15.229,7492.27,11.7
15.263,7494.14,11.7
15.299,7496.13,11.71
15.334,7498.13,11.71
15.369,7500.14,11.72
15.405,7502.18,11.72
15.44,7504.23,11.73
15.475,7506.29,11.73
15.509,7508.36,11.73
15.544,7510.44,11.74
15.577,7512.43,11.74
15.612,7514.53,11.74
15.647,7516.65,11.74
15.682,7518.78,11.75
15.717,7520.93,11.75
15.751,7523.09,11.75
15.786,7525.26,11.75
15.821,7527.43,11.75
15.856,7529.62,11.75
15.888,7531.69,11.75
15.923,7533.89,11.75
15.958,7536.12,11.75
15.992,7538.35,11.75
16.026,7540.58,11.75
16.061,7542.83,11.75
16.095,7545.08,11.75
16.128,7547.34,11.75
16.162,7549.6,11.75
16.195,7551.88,11.75
16.228,7554.17,11.75
16.261,7556.46,11.75
16.294,7558.75,11.75
16.326,7561.05,11.75
16.358,7563.34,11.75
16.389,7565.64,11.75
16.419,7567.94,11.75
16.45,7570.25,11.75
16.479,7572.57,11.75
16.509,7574.91,11.75
16.538,7577.24,11.75
16.566,7579.59,11.75
16.593,7581.94,11.75
16.62,7584.31,11.75
16.646,7586.68,11.75
16.671,7589.07,11.75
16.696,7591.47,11.75
16.72,7593.88,11.75
16.744,7596.31,11.75
16.766,7598.74,11.75
16.789,7601.31,11.75
16.81,7603.76,11.75
16.83,7606.22,11.75
16.849,7608.69,11.75
16.867,7611.18,11.75
16.885,7613.67,11.75
16.903,7616.3,11.75
16.919,7618.8,11.75
16.934,7621.32,11.75
16.949,7623.86,11.75
16.962,7626.39,11.75
16.975,7628.96,11.75
16.986,7631.53,11.75
16.998,7634.12,11.75
17.008,7636.71,11.75
17.018,7639.3,11.75
17.027,7641.9,11.75
17.036,7644.64,11.75
17.044,7647.38,11.75
17.051,7650,11.75
17.057,7652.61,11.75
17.063,7655.24,11.75
17.069,7657.86,11.75
17.074,7660.47,11.75
17.079,7663.22,11.75
17.083,7665.97,11.75
17.087,7668.58,11.75
17.091,7671.2,11.75
17.094,7673.82,11.75
17.097,7676.43,11.75
17.1,7679.06,11.75
17.103,7681.82,11.75
17.105,7684.57,11.76
17.108,7687.19,11.76
17.11,7689.82,11.76
17.113,7692.44,11.76
17.115,7695.06,11.76
17.118,7697.68,11.76
17.121,7700.44,11.76
17.124,7703.21,11.76
17.127,7705.83,11.76
17.13,7708.44,11.76
17.134,7711.06,11.76
17.138,7713.69,11.76
17.142,7716.32,11.77
17.146,7719.08,11.77
17.151,7721.86,11.77
17.157,7724.63,11.77
17.162,7727.4,11.77
17.168,7730.03,11.77
17.174,7732.68,11.77
17.18,7735.33,11.77
17.187,7737.99,11.78
17.194,7740.63,11.78
17.202,7743.43,11.78
17.21,7746.22,11.78
17.218,7749.01,11.78
17.227,7751.8,11.78
17.236,7754.46,11.78
17.245,7757.12,11.79
17.254,7759.78,11.79
17.264,7762.43,11.79
17.274,7765.08,11.79
17.285,7767.86,11.79
17.296,7770.62,11.79
17.307,7773.38,11.79
17.319,7776.14,11.8
17.331,7778.9,11.8
17.343,7781.64,11.8
17.354,7784.26,11.8
17.366,7786.86,11.8
17.378,7789.47,11.8
17.39,7792.06,11.8
17.402,7794.68,11.8
17.414,7797.42,11.81
17.427,7800.17,11.81
17.44,7802.9,11.81
17.453,7805.65,11.81
17.465,7808.39,11.81
17.478,7811.14,11.81
17.491,7813.88,11.81
17.503,7816.5,11.82
17.515,7819.12,11.82
17.527,7821.74,11.82
17.538,7824.36,11.82
17.55,7826.99,11.82
17.562,7829.77,11.82
17.574,7832.54,11.82
17.586,7835.32,11.82
17.597,7838.12,11.82
17.609,7840.91,11.82
17.62,7843.7,11.82
17.631,7846.5,11.82
17.642,7849.31,11.83
17.652,7852.1,11.83
17.662,7854.91,11.83
17.672,7857.73,11.83
17.682,7860.54,11.83
17.691,7863.21,11.83
17.7,7865.89,11.83
17.708,7868.55,11.83
17.716,7871.22,11.83
17.724,7873.89,11.83
17.732,7876.7,11.83
17.74,7879.53,11.83
17.748,7882.36,11.83
17.755,7885.18,11.83
17.762,7888.01,11.83
17.769,7890.83,11.83
17.775,7893.65,11.83
17.781,7896.47,11.83
17.787,7899.3,11.83
17.792,7902.13,11.83
17.797,7904.97,11.83
17.802,7907.8,11.83
17.806,7910.64,11.83
17.811,7913.48,11.83
17.815,7916.32,11.82
17.819,7919.16,11.82
17.823,7922.01,11.82
17.826,7924.88,11.82
17.829,7927.73,11.82
17.833,7930.6,11.82
17.836,7933.46,11.82
17.839,7936.32,11.82
17.841,7939.19,11.82
17.844,7942.06,11.82
17.846,7944.94,11.82
17.848,7947.83,11.82
17.85,7950.73,11.82
17.852,7953.62,11.82
17.854,7956.51,11.82
17.855,7959.4,11.82
17.856,7962.28,11.82
17.857,7965.18,11.82
17.858,7970.99,11.82
2.052,8166.11,12.31
2.053,8153.07,12.3
2.054,8143.73,12.3
2.055,8134.28,12.29
2.056,8127.79,12.29
2.057,8112.13,12.29
2.042,7918.44,12.35
2.043,7909.24,12.36
2.044,7906.05,12.36
2.045,7899.69,12.36
2.046,7896.51,12.37
2.047,7893.32,12.37
2.048,7890.13,12.37
2.049,7886.96,12.37
2.05,7883.8,12.38
2.052,7880.63,12.38
2.053,7877.48,12.38
2.054,7874.34,12.38
2.055,7871.19,12.38
2.057,7868.02,12.39
2.058,7864.87,12.39
2.06,7861.73,12.39
2.061,7858.59,12.39
2.062,7855.45,12.39
2.064,7852.32,12.4
2.065,7849.36,12.4
2.066,7846.38,12.4
2.067,7843.41,12.4
2.068,7840.45,12.4
2.069,7837.49,12.4
2.07,7834.39,12.41
2.071,7831.29,12.41
2.072,7828.21,12.41
2.073,7825.12,12.41
2.074,7822.04,12.41
2.075,7818.95,12.41
2.076,7815.88,12.41
2.077,7812.8,12.42
2.078,7809.73,12.42
2.079,7806.79,12.42
2.08,7803.86,12.42
2.081,7800.9,12.42
2.082,7797.93,12.42
2.083,7794.96,12.42
2.084,7791.82,12.42
2.085,7788.69,12.42
2.086,7785.55,12.42
2.087,7782.4,12.42
2.088,7779.25,12.42
2.089,7776.1,12.42
2.09,7773.09,12.42
2.091,7767.1,12.43
2.092,7764.1,12.43
2.093,7757.96,12.43
2.06,7590.06,12.55
2.061,7581.1,12.56
2.062,7578.11,12.57
2.063,7575.12,12.57
2.064,7572.12,12.57
2.065,7569.12,12.58
2.067,7566.12,12.58
2.068,7563.1,12.58
2.07,7560.07,12.59
2.072,7557.03,12.59
2.074,7553.99,12.59
2.077,7550.95,12.59
2.08,7547.9,12.6
2.083,7544.87,12.6
2.085,7541.99,12.6
2.089,7538.94,12.61
2.092,7535.9,12.61
2.096,7532.87,12.61
2.099,7529.84,12.61
2.103,7526.81,12.62
2.107,7523.79,12.62
2.112,7520.77,12.62
2.116,7517.75,12.62
2.12,7514.88,12.63
2.125,7511.86,12.63
2.13,7508.82,12.63
2.134,7505.81,12.63
2.139,7502.79,12.64
2.144,7499.77,12.64
2.15,7496.76,12.64
2.155,7493.75,12.64
2.161,7490.72,12.65
2.166,7487.86,12.65
2.172,7484.83,12.65
2.178,7481.8,12.66
2.183,7478.77,12.66
2.189,7475.9,12.66
2.195,7472.88,12.66
2.201,7469.85,12.67
2.208,7466.81,12.67
2.213,7463.92,12.68
2.22,7460.87,12.68
2.226,7457.81,12.68
2.232,7454.75,12.69
2.238,7451.85,12.69
2.244,7448.78,12.69
2.25,7445.71,12.7
2.257,7442.64,12.7
2.262,7439.71,12.71
2.269,7436.64,12.71
2.275,7433.56,12.71
2.281,7430.65,12.72
2.286,7427.74,12.72
2.293,7424.69,12.73
2.299,7421.63,12.73
2.305,7418.74,12.73
2.311,7415.68,12.74
2.317,7412.63,12.74
2.323,7409.58,12.75
2.329,7406.7,12.75
2.334,7403.64,12.75
2.34,7400.6,12.76
2.346,7397.71,12.76
2.351,7394.81,12.77
2.357,7391.75,12.77
2.362,7388.69,12.78
2.367,7385.8,12.78
2.373,7382.74,12.78
2.378,7379.69,12.79
2.383,7376.8,12.79
2.388,7373.92,12.8
2.394,7370.87,12.8
2.399,7367.97,12.8
2.404,7365.07,12.81
2.41,7362.02,12.81
2.416,7358.96,12.81
2.421,7356.05,12.82
2.427,7352.98,12.82
2.433,7349.91,12.82
2.44,7346.98,12.82
2.446,7344.04,12.82
2.453,7340.94,12.82
2.459,7338,12.82
2.466,7335.07,12.82
2.474,7331.97,12.82
2.481,7329.03,12.82
2.489,7326.09,12.82
2.497,7322.98,12.82
2.506,7320.02,12.81
2.514,7317.07,12.81
2.524,7313.96,12.8
2.533,7311,12.8
2.543,7308.06,12.79
2.553,7304.96,12.78
2.563,7302.04,12.78
2.573,7299.13,12.77
2.584,7296.06,12.76
2.595,7293.17,12.75
2.606,7290.3,12.73
2.617,7287.28,12.72
2.629,7284.43,12.71
2.64,7281.59,12.7
2.652,7278.62,12.68
2.664,7275.81,12.67
2.676,7273,12.65
2.688,7270.05,12.63
2.7,7267.28,12.62
2.712,7264.52,12.6
2.725,7261.62,12.58
2.737,7258.9,12.56
2.749,7256.19,12.54
2.762,7253.35,12.52
2.775,7250.67,12.49
2.787,7248,12.47
2.799,7245.35,12.44
2.812,7242.71,12.42
2.824,7240.08,12.39
2.836,7237.45,12.36
2.848,7234.84,12.34
2.861,7232.09,12.3
2.873,7229.47,12.27
2.885,7226.86,12.24
2.897,7224.26,12.21
2.908,7221.67,12.17
2.92,7219.08,12.14
2.931,7216.49,12.1
2.942,7213.92,12.06
2.954,7211.21,12.02
2.965,7208.64,11.98
2.976,7206.07,11.94
2.987,7203.52,11.89
2.997,7200.98,11.85
3.008,7198.44,11.81
3.017,7195.92,11.77
3.027,7193.41,11.72
3.037,7190.77,11.68
3.046,7188.28,11.64
3.054,7185.8,11.59
3.063,7183.32,11.55
3.07,7180.85,11.51
3.078,7178.39,11.47
3.085,7175.94,11.43
3.092,7173.5,11.39
3.098,7171.08,11.35
3.104,7168.67,11.32
3.11,7166.27,11.28
3.116,7163.88,11.24
3.121,7161.51,11.2
3.126,7159.16,11.17
3.131,7156.82,11.13
3.135,7154.51,11.1
3.139,7152.22,11.07
3.143,7149.95,11.03
3.147,7147.68,11
3.151,7145.43,10.97
3.154,7143.3,10.94
3.158,7141.06,10.91
3.161,7138.84,10.88
3.164,7136.61,10.85
3.167,7134.38,10.82
3.17,7132.17,10.79
3.173,7129.96,10.76
3.175,7127.86,10.73
3.178,7125.65,10.71
3.18,7123.42,10.68
3.182,7121.2,10.65
3.184,7118.98,10.62
3.186,7116.77,10.6
3.188,7114.56,10.57
3.19,7112.37,10.55
3.192,7110.17,10.52
3.193,7107.99,10.5
3.195,7105.8,10.48
3.196,7103.63,10.46
3.198,7101.59,10.44
3.199,7099.43,10.42
3.2,7097.42,10.4
3.202,7095.28,10.39
3.203,7093.14,10.37
3.204,7091.01,10.36
3.205,7088.87,10.35
3.207,7086.73,10.34
3.208,7084.59,10.33
3.209,7082.57,10.32
3.211,7080.44,10.32
3.212,7078.3,10.31
3.213,7076.17,10.31
3.215,7074.04,10.3
3.217,7071.9,10.3
3.219,7069.75,10.29
3.221,7067.72,10.29
3.223,7065.56,10.29
3.225,7063.5,10.28
3.228,7061.32,10.28
3.231,7059.24,10.28
3.234,7057.02,10.27
3.238,7054.89,10.27
3.242,7052.62,10.26
3.246,7050.33,10.26
3.251,7048.04,10.25
3.256,7045.72,10.24
3.262,7043.39,10.23
3.268,7041.05,10.23
3.275,7038.83,10.22
3.282,7036.46,10.21
3.29,7034.22,10.2
3.298,7031.83,10.19
3.307,7029.58,10.18
